Bill Name,PredictedStatus,Jurisdiction,Actual Status
S 892,Failed,California,Failed
S 893,Failed,California,Failed
S 896,Failed,California,Enacted
S 9104,Failed,New York,Referred Elsewhere
S 913,Failed,Pennsylvania,Referred Elsewhere
S 933,Failed,California,Failed
S 9381,Failed,New York,Referred Elsewhere
S 9401,Failed,New York,Referred Elsewhere
S 942,Failed,California,Enacted
S 9434,Failed,New York,Referred Elsewhere
S 9439,Failed,New York,Referred Elsewhere
S 9450,Failed,New York,Referred Elsewhere
S 9542,Failed,New York,Referred Elsewhere
S 9609,Failed,New York,Referred Elsewhere
S 9640,Failed,New York,Referred Elsewhere
S 970,Failed,California,Failed
S 9832,Failed,New York,Referred Elsewhere
SR 143,Enacted,Pennsylvania,Referred Elsewhere
